#name,mu,dmu,z heliocentric,z cmb,error,ra,dec,survey,type,known error?
190,38.49610138,0.1064999998,0.1011459976,0.102403,0.001,148.9884644,2.263463974,PS1,H,no
199,41.47790146,0.1066000015,0.3700320125,0.3716289997,0.01,151.2313995,2.590919018,PS1,S,no
215,42.13809967,0.1174999997,0.4649370015,0.4666379988,0.01,150.8099365,3.144224882,PS1,S,no
236,39.84170151,0.1115000024,0.195295006,0.1960179955,0.001,131.5801697,44.07305145,PS1,H,no
420,41.08589935,0.1089000031,0.3100380003,0.3115569949,0.001,149.8200073,1.613486052,PS1,H,no
10026,35.8091011,0.131099999,0.03109800071,0.03195000067,0.001,160.6745453,58.84382629,PS1,H,no
20027,38.63999939,0.1174999997,0.1090980023,0.1098740026,0.001,186.3361511,46.0152092,PS1,H,no
20096,40.06389999,0.1263000071,0.2249850035,0.2256149948,0.001,161.3141174,58.19271088,PS1,H,no
20176,40.5707016,0.126000002,0.2599920034,0.2605049908,0.01,211.8623962,53.3429184,PS1,S,no
30066,40.21440125,0.1284999996,0.2241420001,0.2255569994,0.001,150.1833954,3.40397501,PS1,H,no
40137,41.93629837,0.1495999992,0.4470080137,0.4475730062,0.01,214.460434,52.80104828,PS1,S,no
40166,42.22470093,0.1733999997,0.4395219982,0.4400649965,0.01,214.1196136,54.05356216,PS1,S,no
40782,41.10219955,0.1376000047,0.3373290002,0.3374229968,0.001,242.0767059,54.90814972,PS1,H,no
50005,42.18249893,0.1445000023,0.5279009938,0.5285099745,0.001,211.8121796,53.997612,PS1,H,no
50203,42.61169815,0.1498000026,0.5760390162,0.5761349797,0.01,242.7929535,55.12230682,PS1,S,no
50251,41.72700119,0.1567000002,0.3872230053,0.387744993,0.001,214.3273621,53.97831726,PS1,H,no
50293,41.26679993,0.1319999993,0.3599599898,0.3600139916,0.01,244.4487762,55.30228806,PS1,S,no
50301,41.15420151,0.1334999949,0.3469659984,0.3470120132,0.01,244.7241974,55.78290939,PS1,S,no
50607,41.91230011,0.1262000054,0.4387069941,0.439271003,0.001,213.513916,53.36219025,PS1,H,no
70955,41.19380188,0.1142999977,0.3491240144,0.3492259979,0.001,241.4753723,55.1978302,PS1,H,no
80723,41.91450119,0.1271000057,0.4313260019,0.4301500022,0.01,34.98636627,-3.960606098,PS1,S,no
90201,42.13579941,0.1449999958,0.5100200176,0.5081840158,0.01,353.3282776,-0.9507110119,PS1,S,no
91869,40.82080078,0.124499999,0.290019989,0.2884519994,0.001,351.9074707,-1.76245296,PS1,H,no
100090,39.8423996,0.1272999942,0.1720830053,0.1728049964,0.001,131.8279724,43.40811539,PS1,H,no
100163,41.17959976,0.1547999978,0.3188140094,0.3177450001,0.001,35.44234085,-5.151599884,PS1,H,no
100213,40.8506012,0.1349000037,0.2755919993,0.275094986,0.001,53.06715012,-27.19430733,PS1,H,no
100405,38.25469971,0.1169999987,0.1033810005,0.1029620022,0.001,53.62855148,-27.32057762,PS1,H,no
110033,39.88970184,0.1588999927,0.2057289928,0.204734996,0.001,34.90313339,-3.529243946,PS1,H,no
110478,40.58240128,0.1403000057,0.2650809884,0.2646020055,0.001,53.58030319,-27.56890297,PS1,H,no
110536,40.24349976,0.1871999949,0.2351720035,0.2347149998,0.001,54.33251572,-26.90174675,PS1,H,no
110567,40.11059952,0.1647000015,0.214902997,0.2144159973,0.001,52.71314621,-26.45998383,PS1,H,no
110719,42.37480164,0.1697999984,0.4270089865,0.4278520048,0.001,129.9230652,43.96442413,PS1,H,no
110734,41.5970993,0.1509999931,0.4013170004,0.402132988,0.001,131.068924,45.34420776,PS1,H,no
120085,40.90660095,0.1336999983,0.3206349909,0.3221699893,0.001,150.4709473,2.042646885,PS1,H,no
120094,42.0984993,0.1275999993,0.4500350058,0.4517210126,0.01,150.5261688,2.087794065,PS1,S,no
120336,39.42570114,0.1155000031,0.1600420028,0.1613820046,0.001,149.0823364,1.409466982,PS1,H,no
120400,41.41189957,0.1169999987,0.3500429988,0.3516010046,0.01,149.6284485,2.871781111,PS1,S,no
120585,40.38700104,0.1218999997,0.2500149906,0.2490019947,0.01,35.77347565,-3.610347033,PS1,S,no
130308,37.89459991,0.1154000014,0.08179599792,0.08223199844,0.001,213.237793,52.74366379,PS1,H,no
130514,38.50429916,0.1133000031,0.1050169989,0.1056609973,0.01,130.2316742,44.79174042,PS1,S,no
130862,41.39659882,0.1474999934,0.3320200145,0.3329229951,0.01,184.0017395,47.92041016,PS1,S,no
140181,38.39450073,0.1086999997,0.1015010029,0.1022690013,0.001,183.737915,46.84504318,PS1,H,no
150509,40.84930038,0.1435000002,0.2927190065,0.2928229868,0.001,241.2345276,54.87814331,PS1,H,no
151034,38.90090179,0.1070000008,0.131904006,0.1326899976,0.001,185.1375427,46.66614532,PS1,H,no
160039,40.56679916,0.1220000014,0.2700279951,0.2708790004,0.01,184.9750366,48.14027405,PS1,S,no
160099,38.41790009,0.1093999967,0.1000289991,0.100436002,0.01,214.6671143,54.18305206,PS1,S,no
160197,41.48600006,0.1430000067,0.3535169959,0.353628993,0.001,241.6174316,53.8718071,PS1,H,no
160200,41.94929886,0.2522000074,0.4234310091,0.4235289991,0.001,242.6075592,54.14957428,PS1,H,no
170428,41.05410004,0.1174999997,0.3000420034,0.300116986,0.01,243.6184692,54.00302124,PS1,S,no
180166,39.23339844,0.1103999987,0.1475390047,0.1476079971,0.001,242.8426514,55.06420135,PS1,H,no
180561,40.3368988,0.1221999973,0.2299980074,0.2285300046,0.001,334.4624329,1.468441963,PS1,H,no
190230,39.16230011,0.1112999991,0.1399929971,0.1386380047,0.01,333.9369812,0.4225389957,PS1,S,no
190260,39.21720123,0.1111000031,0.1447889954,0.1434320062,0.001,333.9668274,-0.825158,PS1,H,no
300105,38.31060028,0.108099997,0.09312400222,0.09179099649,0.001,351.7102966,-0.7300580144,PS1,H,no
310025,39.46120071,0.1319999993,0.1576109976,0.1566769928,0,35.7049942,-4.897871971,PS1,,no
310042,40.53269958,0.2349999994,0.2400210053,0.2385129929,0.01,351.4510803,-1.723219037,PS1,S,no
310073,39.52970123,0.1923999935,0.1499740034,0.1495459974,0.01,53.44691849,-28.9132061,PS1,S,no
310091,42.34949875,0.1439999938,0.5090230107,0.5071840286,0.001,353.1264038,-0.1046560034,PS1,H,no
310161,40.54610062,0.1128000021,0.2540220022,0.2524949908,0.001,352.9659119,-0.6604440212,PS1,H,no
310238,40.6576004,0.1164000034,0.2850199938,0.2839719951,0.001,35.52679062,-3.233292103,PS1,H,no
310574,40.36190033,0.1228,0.2380249947,0.2365140021,0.001,352.9859314,0.5362719893,PS1,H,no
320258,41.23289871,0.1484999955,0.3420259953,0.3409230113,0.001,34.74799728,-4.880739212,PS1,H,no
330022,40.41009903,0.138500005,0.2649239898,0.2638869882,0.001,35.32408524,-2.949125051,PS1,H,no
330089,41.45890045,0.1298999935,0.349804014,0.3487249911,0.001,36.19027328,-4.822142124,PS1,H,no
330128,41.05970001,0.1270000041,0.3219969869,0.3209480047,0.001,36.82282257,-3.821314096,PS1,H,no
